Deuteros: The Next Millennium/Planets,,,,,,,,,,,,,,,
Page,,,,,,,,,,,,,,,
Discussion,,,,,,,,,,,,,,,
Read,,,,,,,,,,,,,,,
Edit,,,,,,,,,,,,,,,
Edit source,,,,,,,,,,,,,,,
View history,,,,,,,,,,,,,,,
"From StrategyWiki, the video game walkthrough and strategy guide wiki",,,,,,,,,,,,,,,
< Deuteros: The Next Millennium,,,,,,,,,,,,,,,
Deuteros: The Next Millennium,,,,,,,,,,,,,,,
Table of Contents,,,,,,,,,,,,,,,
Gameplay,,,,,,,,,,,,,,,
Walkthrough,,,,,,,,,,,,,,,
Contents,,,,,,,,,,,,,,,
1 Solar system (42p),,,,,,,,,,,,,,,
2 Proxima system (4p),,,,,,,,,,,,,,,
3 Centauri system (12p),,,,,,,,,,,,,,,
4 Barnard system (28p),,,,,,,,,,,,,,,
5 Lalande system (6p),,,,,,,,,,,,,,,
6 Sirius system (2p),,,,,,,,,,,,,,,
7 Cygni system (34p),,,,,,,,,,,,,,,
8 Procyon system (10p),,,,,,,,,,,,,,,
9 Tau Ceti system (22p),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A chart with all the planets (and their moons) along with their resources.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Part of the strategy of the game is to select a good combination of 4 locations/stations (5 with Earth) that will supply you with a good variety of resources and also not so great distances. A good combination is: (Earth,) Moon, Venus, Leda, and Callisto.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"The most common resource is Silica, which can be found everywhere except of Earth; the rarest is Helium and is found only on planets possessed by the Methanoids. The most valuable resources are: Iron, Titanium, Aluminum, Carbon, Copper, Paladium, and Platinum. Try to collect a big amount of each before the word with Methanoids, also have needed items like IOS Chassis, IOS Drive, pods, etc. at 15 items available at each station.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"The solar system has the same resources and Methanoid ownership in every game. But the 8 other systems have resources and Methanoid ownership randomly generated at the time you unlock interstellar travel. Depending on what resources you have the least number of colonies with among Iron, Titanium and Aluminium will determine which of the three are made most more rare in the other 8 systems. One tactic I use is to make sure to engineer a certain slight shortage in one resource before unlocking those systems then change up the colonies I have in Solar System to make that shortage into my strongest resource there. If you do this its best to do it with Titanium or Aluminium since you have also make up for the shortage using AMA's on in the asteroid belt.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Solar system (42p),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The same every single game,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hyd,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Mercury,,X,X,,X,X,,,,,X,,,,X
Venus,,,,X,X,,X,,,X,,X,,,
Earth,,X,X,X,X,X,X,,X,X,X,,,,
Moon,,X,X,X,X,,,,X,,,,,X,
Mars,,X,,,X,,X,,,,,,X,,
Phobos,,,,,X,,,,,,,,,,X
Deimos,,,,,X,,,,,,,,,,X
Asteroids,,,X,X,X,X,,,,,X,X,X,,X
Jupiter,M,,,,,,X,X,,,,,,,
Amalthea,,,,,X,,,,,,,,,,X
Io,,,,,X,,,,,X,,,,,X
Europa,,,,,X,,,,X,,,,,,X
Ganymede,,X,X,X,,,X,,,X,,X,,,X
Callisto,,X,,X,,X,X,,,,,X,,,
Leda,,X,X,,,X,X,,,X,X,,,X,X
Himalia,,,,,X,,,,,,,,,X,X
Elara,,,,,X,,,,,,,,,,X
Pasiphae,,,,,X,,,,,,,,,,X
Saturn,,,,,,,X,,,,,,,,
Mimas,,,,,X,,,,,,,,,,X
Enceladus,,X,,X,X,,X,,X,,,,,,X
Tethys,,,X,X,,X,X,,X,X,X,,,,X
Dione,,,,,X,,,,,,,,,,X
Rhea,,,,,X,,X,,X,,,X,,X,X
Titan,,,X,,X,,X,,,X,X,X,X,,
Hyperion,,,,X,X,X,,,,X,X,,,,X
Iapet,,,,,X,,,,,,,,,,X
Phoebe,,X,X,,X,,X,,X,X,,,,X,X
Uranus,M,X,X,,,X,X,X,X,X,,,,,X
Miranda,,X,,,X,X,,,,,,X,X,,X
Ariel,,,,X,,,X,,,X,,X,,X,X
Umbriel,,,,,X,,X,,,,,,,,X
Titania,M,X,,,X,X,,,X,X,,X,X,X,
Oberon,,X,X,X,,,X,,X,X,X,,,,X
Neptune,M,X,,X,X,X,X,,,X,X,X,,,
Triton,M,,X,,X,,X,,X,X,,X,,X,X
Nereid,,,,,X,,,,,,X,,,,X
N3,,,,,X,,,,,,,,,,X
N4,,,,,,,,,,,,,,,X
Pluto,M,,,,X,,X,,,X,X,X,,X,X
Charon,,,,,X,,,,,,,,,,X
Decuria,,,X,,X,,,,,,,,X,,X
,,,,,,,,,,,,,,,
The rest are generated based on what planets you colonized in the Solar System. Whoever made this chart must have had a shortage in Alumimium when they unlocked the rest of the systems as these examples show a continued shortage of that resource.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Proxima system (4p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Atlantic,M,X,X,X,X,X,X,,X,X,,,,,
Pacific,,,X,,,,X,,X,,,X,X,X,X
Barent,M,X,,,X,,X,,X,,X,X,,,
Baltic,,,X,,,,,X,,,X,,,,X
Centauri system (12p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Chiron,M,,,X,,X,,X,,,X,,,,X
Cecrops,,X,,,,X,,X,,,,,,,X
Circe,M,X,,,,X,,X,X,,,X,X,X,X
Chimaera,,,,X,,,,X,X,,,,,X,
Cerberus,M,X,X,,,X,X,X,,,,,,X,
Cronus,,X,,,,,,X,,,X,X,,,
Chloe,,X,X,,,,,X,X,,,X,,X,X
